"full_name","gender","mfa_degree","role","prize_year","prize_name","prize_amount","prize_institution","prize_type","prize_genre","given_name","last_name","author_wikidata","author_wikidata_label","author_viaf","author_lccn","elite_institution","graduate_degree","iowa_mfa_person_id","stegner","title_of_winning_book"
"J. D. McClatchy","male","","winner","1991","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","J. D.","McClatchy","Q915445","J. D. McClatchy","98044618","n77011314","Yale University","graduate","","",""
"Joseph Parisi","male","","judge","1991","Ruth Lilly Poetry Prize","100,000","Poetry Foundation","career","poetry","Joseph","Parisi","","","","","University of Chicago","graduate","","",""
"Donald Justice","male","","winner","1991","Bollingen Prize for Poetry","10,000","Yale University","career","poetry","Donald","Justice","Q5294615","Donald Justice","79095207","n79145515","Stanford University","graduate","","Stegner",""
"Edgar Bowers","male","","winner","1991","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Edgar","Bowers","Q3719044","Edgar Bowers","61594012","n85812587","Stanford University","graduate","","Stegner",""
"James Hadley Billington","male","","judge","1991","Poet Laureate","35,000","Library of Congress","career","poetry","James Hadley","Billington","Q137576","James H. Billington","54202464","n80020417","Princeton University","graduate","","",""
"James Hadley Billington","male","","judge","1991","Poet Laureate","35,000","Library of Congress","career","poetry","James Hadley","Billington","Q137576","James H. Billington","54202464","n80020417","Princeton University","graduate","","",""
"John Ashbery","male","","judge","1991","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","John","Ashbery","Q29418","John Ashbery","100001869","n79059269","Harvard University, Columbia University","graduate","","",""
"John Ashbery","male","","judge","1991","Bollingen Prize for Poetry","10,000","Yale University","career","poetry","John","Ashbery","Q29418","John Ashbery","100001869","n79059269","Harvard University, Columbia University","graduate","","",""
"Howard Nemerov","male","","judge","1991","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Howard","Nemerov","Q429011","Howard Nemerov","68933459","n78084908","Harvard University","graduate","","",""
"Richard Wilbur","male","","judge","1991","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Richard","Wilbur","Q1333582","Richard Wilbur","14804371","n79007244","Harvard University","graduate","","",""
"Stanley Kunitz","male","","judge","1991","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Stanley","Kunitz","Q1974852","Stanley Kunitz","109638294","n79007720","Harvard University","graduate","","",""
"Anthony Hecht","male","","judge","1991","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Anthony","Hecht","Q3618497","Anthony Hecht","76363549","n79148935","Columbia University","graduate","","",""
"Daniel Hoffman","male","","judge","1991","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Daniel","Hoffman","Q5217498","Daniel Hoffman","299139437","n79058587","Columbia University","graduate","","",""
"John Hollander","male","","judge","1991","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","John","Hollander","Q3809343","John Hollander","109426764","n79069790","Columbia University","graduate","","",""
"Richard Howard","male","","judge","1991","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Richard","Howard","Q2636383","Richard Howard","73940071","n79066341","Columbia University","graduate","","",""
"Alan Hollinghurst","male","","winner","1991","E. M. Forster Award","10,000","American Academy of Arts and Letters","career","no genre","Alan","Hollinghurst","Q316048","Alan Hollinghurst","90719312","n86822799","","graduate","","",""
"Albertf Moritz","male","","winner","1991","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Albertf","Moritz","","","","","","graduate","","",""
"Alexander Theroux","male","","winner","1991","Lannan Award","150,000","Lannan Foundation","career","prose","Alexander","Theroux","Q4720208","Alexander Theroux","228642066","n50010115","","graduate","","",""
