Location Name,Title,Permanent Call Number,Author
Hallock Collection,"Diary notes of a visit to Walt Whitman and some of his friends, in 1890. With a series of original photographs.",W61yj,"Johnston, John, 1852-1927."
Hallock Collection,Die Brautwerbung des Miles Standish. /,L85cuga,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Die Entwicklung des Naturgefu?hls und der ku?nstlerischen Wiedergabe desselben bei Henry Wadsworth Longfellow ... /,L85yw,"Werner, Friedrich Wilhelm, 1887-"
Hallock Collection,Die Fu?hrung des Lebens : Gedanken und Studien /,E53cog,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"Die Geschichte eines bo?sen Buben, und drei andere scho?ne Historien,",A36stg,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,"Die natur in den werken und briefen des Amerikanischen schriftstellers Washington Irving,",I72yg,"Grosskunz, Rudolf."
Hallock Collection,"Dirge for two veterans : the poem by Walt Whitman, set to music for bass solo, chorus and orchestra /",W61xw,"Wood, Charles, 1866-1926."
Hallock Collection,"Discourse occasioned by the death of Convers Francis, D.D., delivered before the First Congregational society, Watertown, April 19, 1863.",E53yw,"Weiss, John, 1818-1879."
Hallock Collection,Doctor Grimshawe's secret : a romance /,H39d,"Hawthorne, Nathaniel, 1804-1864, author."
Hallock Collection,"Dora Wordsworth, her book,",W92ym8,"Morley, F. V. 1899-1980. (Frank Vigor),"
Hallock Collection,Dorothy Wordsworth; the story of a sister's love.,W92yl,"Lee, Edmund."
Hallock Collection,"Dove cottage ; Wordsworth's home from 1800-1808: Dec. 21, 1799 to May, -1808.",W92yb8,"Brooke, Stopford A. 1832-1916. (Stopford Augustus),"
Hallock Collection,Drei Essays /,E53dg,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Early letters of George Wm. Curtis to John S. Dwight; Brook Farm and Concord.,E53yc97,"Curtis, George William, 1824-1892."
Hallock Collection,Early prose writings of James Russell Lowell /,L91e,"Lowell, James Russell, 1819-1891."
Hallock Collection,Early spring in Massachusetts /,T48e,"Thoreau, Henry David, 1817-1862 author."
Hallock Collection,Echoes from the home of Halleck and other poems.,H18yl,"Loper, Samuel Ward, 1834-1910."
Hallock Collection,Echoes of Harper's Ferry ...,R32e,"Redpath, James, 1833-1891 editor."
Hallock Collection,Edgar A. Poe; a study.,P74yr,"Robertson, John W. 1856-1933. (John Wooster),"
Hallock Collection,Edgar Allan Poe ...,P74e,"Poe, Edgar Allan, 1809-1849."
Hallock Collection,Edgar Allan Poe /,P74yw8,"Woodberry, George Edward, 1855-1930."
Hallock Collection,Edgar Allan Poe : the man : the master : the martyr /,P74yl,"Leigh, Oliver."
Hallock Collection,"Edgar Allan Poe letters till now unpublished : in the Valentine Museum, Richmond, Virginia /",P74le,"Poe, Edgar Allan, 1809-1849, author."
Hallock Collection,"Edgar Allan Poe, a high priest of the beautiful, a biographical essay supplemented by select Poe poems ...",P74yp7,"Poe, Elisabeth Ellicott, 1886-1947."
Hallock Collection,"Edgar Allan Poe, the man,",P74yp,"Phillips, Mary Elizabeth, 1857-1945."
Hallock Collection,Edgar Allan Poe; a series of seventeen letters concerning Poe's scientific erudition in Eureka and his authorship of Leonainie.,P74yw,"Wallace, Alfred Russel, 1823-1913."
Hallock Collection,Edgar Allan Poe? : eine Auswahl seiner Erza?hlungen /,P74tgb,"Poe, Edgar Allan, 1809-1849."
Hallock Collection,Edgar Poe and his critics.,P74yw6,"Whitman, Sarah Helen, 1803-1878."
Hallock Collection,Elementary treatise on natural philosophy /,P96e,"Privat-Deschanel, A. 1821-1883. (Augustin),"
Hallock Collection,Elements of French grammar;,L85xl,"L'Homond, C. F., 1727-1794."
Hallock Collection,"Elements of astronomy,",B18e,"Ball, Robert S. 1840-1913. (Robert Stawell),"
Hallock Collection,Elsie Venner : a romance of destiny /,H75eb,"Holmes, Oliver Wendell, 1809-1894."
Hallock Collection,Emerson : sein Charakter aus seinen Werken /,E53emeg,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"Emerson and Asia,",E53yc2,"Carpenter, Frederic Ives, 1903-1991."
Hallock Collection,Emerson and the great poets : a centennial contribution /,E53ys79,"Stearns, Frank Preston, 1846-1917."
Hallock Collection,Emerson as a poet /,E53yb47,"Benton, Joel, 1832-1911."
Hallock Collection,Emerson at home and abroad /,E53yc76,"Conway, Moncure Daniel, 1832-1907."
Hallock Collection,"Emerson in Concord : a memoir ; written for the ""Social Circle"" in Concord, Massachusetts /",E53ye5a,"Emerson, Edward Waldo, 1844-1930."
Hallock Collection,Emerson in Concord.,E53ye5,"Emerson, Edward Waldo, 1844-1930."
Hallock Collection,"Emerson today,",E53yp46,"Perry, Bliss, 1860-1954."
Hallock Collection,"Emerson, and other essays,",E53yc46,"Chapman, John Jay, 1862-1933."
Hallock Collection,"Emerson, poet and thinker /",E53yc3,"Cary, Elisabeth Luther, 1867-1936, author."
Hallock Collection,"Emerson, the enraptured Yankee /",E53ym6ve,"Michaud, Re?gis, 1880-1939."
Hallock Collection,"Emerson, the wisest American /",E53yr9,"Russell, Phillips, 1884-1974."
Hallock Collection,Emerson.,E53ya3e,"Alcott, Amos Bronson, 1799-1888."
Hallock Collection,,E53yc97e,"Curtis, George William, 1824-1892."
Hallock Collection,Emerson;,E53e,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"Emersons? earlier poems,",E53emr,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"Englische charakterzu?ge,",E53eng,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,English traits /,E53en,"Emerson, Ralph Waldo, 1803-1882 author."
Hallock Collection,,E53ena,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,,E53enb,"Emerson, Ralph Waldo, 1803-1882, author."
